player_name,player_id,offensive_rating,defensive_rating,combined_rating,combined_se,games_played,qualified_home,qualified_road,qualified_total,career_gp,career_min,career_mpg,rapm_offense,rapm_offense_se,rapm_defense,rapm_defense_se,rapm_total,rapm_total_se
Larry Bird,1449,,,6.800994119665512,0.8191806511739019,1071,547,519,1066,,,,,,,,,
Bill Russell,78049,,,6.7991294940407645,0.976337672326631,1139,508,276,784,,,,,,,,,
Giannis Antetokounmpo,203507,,,6.669338629954414,0.7903961435871139,988,491,476,967,895.0,29272.8,32.71,4.1,0.6,-3.2,0.6,7.3,0.8
Bob Harrison,76962,,,6.343854600326004,2.0531912981087994,523,29,35,64,,,,,,,,,
Yao Ming,2397,,,6.133066943333986,0.8100364668839808,520,251,257,508,486.0,15838.6,32.59,0.6,0.8,-3.9,0.7,4.5,1.1
Magic Johnson,77142,,,5.899509860447769,0.8516255287265967,1107,546,546,1092,,,,,,,,,
Isaiah Joe,1630198,,,5.86276075578411,0.9826549761482843,439,138,141,279,392.0,6943.9,17.71,1.7,1.0,-0.5,0.9,2.2,1.3
Isaiah Hartenstein,1628392,,,5.751641002881785,0.8253927303161532,480,173,181,354,426.0,8513.6,19.99,2.4,0.9,-1.9,0.8,4.3,1.2
Jack George,76800,,,5.739335845314344,2.6448860289974534,530,20,55,75,,,,,,,,,
Jayson Tatum,1628369,,,5.662489351146172,0.9733407457967351,731,363,365,728,601.0,20706.4,34.45,3.8,0.7,-2.2,0.7,6.0,1.0
Vlade Divac,124,,,5.346871224669486,0.6369324669729833,1256,607,597,1204,614.0,18441.0,30.03,1.2,0.7,-3.9,0.7,5.1,1.0
Kareem Abdul-Jabbar,76003,,,5.343610365475268,0.7483467301159278,1815,901,871,1772,,,,,,,,,
Kevin Durant,201142,,,5.335425723288887,0.5318941025555497,1384,696,681,1377,1201.0,44074.9,36.7,5.5,0.5,-0.8,0.5,6.3,0.7
Donovan Mitchell,1628378,,,5.334074188282022,0.7992792927629041,679,340,335,675,609.0,20586.5,33.8,3.5,0.7,0.2,0.7,3.3,1.0
Stephen Curry,201939,,,5.170551082704807,0.7014193798664364,1239,623,604,1227,1069.0,36305.0,33.96,7.7,0.6,-0.0,0.6,7.7,0.8
Michael Jordan,893,,,5.154771776979054,0.726502561568325,1264,638,623,1261,306.0,11409.2,37.29,5.2,1.0,-1.7,0.9,6.9,1.3
Hakeem Olajuwon,165,,,5.148470422613443,0.6000470580784083,1395,697,679,1376,338.0,10231.1,30.27,-1.8,0.9,-2.7,0.9,0.9,1.3
David Robinson,764,,,5.046694100999564,0.8608300192123156,1120,555,552,1107,430.0,13063.4,30.38,0.5,0.9,-4.3,0.8,4.8,1.2
Rashard Lewis,1740,,,5.001610737092299,0.5985772168232975,1144,512,507,1019,1049.0,33551.1,31.98,3.3,0.5,-0.7,0.5,4.0,0.7
Dikembe Mutombo,87,,,4.974870884041048,0.5674912545833171,1305,567,564,1131,805.0,22396.3,27.82,-0.7,0.7,-5.6,0.6,4.9,0.9
Jerry West,78497,,,4.968302680080442,0.8878762064419491,1096,317,331,648,,,,,,,,,
Wilt Chamberlain,76375,,,4.866525114634553,0.5181867393275097,1217,606,563,1169,,,,,,,,,
Fred VanVleet,1627832,,,4.826110200052881,0.7825769261737562,611,282,275,557,550.0,17193.6,31.26,1.9,0.7,-1.9,0.7,3.8,1.0
LaMarcus Aldridge,200746,,,4.79709979383468,0.6578683871116557,1155,552,571,1123,1076.0,36241.9,33.68,1.9,0.6,-1.5,0.5,3.4,0.8
Oscar Robertson,600015,,,4.765804641170216,0.5910588645291626,1137,424,416,840,,,,,,,,,
Aaron Holiday,1628988,,,4.691195196840653,0.8381225010845668,527,137,152,289,505.0,8147.5,16.13,0.0,0.9,-1.5,0.8,1.5,1.2
